,title,year,genre,synopsis
4271,마리아,2019,영화 NETFLIX ORIGINAL,"냉혹한 암살자에서 평범한 주부로, 어두운 과거를 지우고 살아가는 마리아. 하지만 피에 굶주린 갱단이 사랑하는 가족을 위협해오자, 그녀의 킬러 본능이 다시 폭발한다."
4272,어바웃 타임,2013,영화,평범한 청년이 알게 된 가문의 놀라운 비밀. 그건 바로 집안의 남자들에게 시간을 되돌리는 능력이 있다는 것. 청년은 첫눈에 반한 여인의 마음을 얻기 위해 그 특별한 능력을 사용하기로 한다. 그리고 그녀와의 꿈 같은 시간이 시작된다.
4273,지정생존자,2018,드라마 NETFLIX ORIGINAL,가공할 테러로 삽시간에 아수라장이 된 워싱턴. 이제 미합중국의 운명이 하위 각료 한 사람의 손에 달렸다. 긴장을 늦출 수 없는 정치 스릴러.
4274,인터넷으로 마약을 파는 법,2019,드라마 NETFLIX ORIGINAL,처음엔 그저 헤어진 여자 친구의 마음을 돌리고 싶었다. 그래서 온라인 마약 판매를 시작한 괴짜 10대 소년. 그런데 어쩌다 유럽을 대표하는 마약상이 되어버린 거지?
4275,봄밤,2019,드라마,"알 수 없는 이끌림과 묘한 떨림. 이게 다 봄바람 때문일까? 정인과 지호가 마주치고, 그들의 평온한 일상이 흔들린다. 진정한 사랑을 깨닫는 시간, 봄밤이 왔다."
4276,신세계,2013,영화,"국내 최대 범죄 조직 ‘골드문’의 후계자 선출에 개입하라! 작전 설계자 강 과장은 8년 전 조직에 심어 놓은 이자성을 조종하고, 조직 내에선 후계자 전쟁으로 칼바람이 휘몰아친다. 각자가 꿈꿨던 그들의 서로 다른 신세계는 열릴 것인가."
4277,힐다,2018,드라마 NETFLIX ORIGINAL,"자유롭고 용감한 소녀 힐다. 편안한 숲을 떠나, 모든 것이 생소한 도시에서 살게 된다. 그래도 새로운 친구들을 만나는 건 즐거워. 신비한 모험을 계속할 수 있으니까!"
4278,기묘한 이야기,2017,드라마 NETFLIX ORIGINAL,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다."
4279,기묘한 이야기,2017,드라마 NETFLIX ORIGINAL,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다."
4280,근거리 연애,2014,영화,"탁월한 성적의 전교 1등. 흠이라면 영어가 약점이라 츤데레 미남 영어 선생님께 보충 수업을 받게 됐다. 그런데 뭐지? 이 사람 싫은데 나한테 차갑게 대하는 건 더 싫어! 싫은 거랑 좋은 거랑 둘 다 있는 게 사랑이라더니 나, 설마?"
