,title,year,genre,synopsis
4251,스윙키즈,2018,영화,"한국 전쟁이 한창이던 시절. 또 하나의 전장인 포로수용소에 때아닌 춤바람이 분다. 대외 선전용 댄스단에 들어가 미제 춤에 빠진 사람들. 매직 슈즈를 신고 스텝을 밟는 순간, 모두 하나가 되는 마법이 벌어진다!"
4252,어바웃 타임,2013,영화,평범한 청년이 알게 된 가문의 놀라운 비밀. 그건 바로 집안의 남자들에게 시간을 되돌리는 능력이 있다는 것. 청년은 첫눈에 반한 여인의 마음을 얻기 위해 그 특별한 능력을 사용하기로 한다. 그리고 그녀와의 꿈 같은 시간이 시작된다.
4253,신세계,2013,영화,"국내 최대 범죄 조직 ‘골드문’의 후계자 선출에 개입하라! 작전 설계자 강 과장은 8년 전 조직에 심어 놓은 이자성을 조종하고, 조직 내에선 후계자 전쟁으로 칼바람이 휘몰아친다. 각자가 꿈꿨던 그들의 서로 다른 신세계는 열릴 것인가."
4254,어서와~ 한국은 처음이지?,2019,드라마,"산 넘고 물 건너 반가운 사람 만나러 왔소이다! 난생처음 한국을 찾은 외국인 친구들. 가끔은 길을 잃고 헤매기도 하지만, 뭐 어때? 함께하는 여행, 고생도 추억인 것을!"
4255,아내의 맛,2018,드라마,"화려한 집에서, 럭셔리한 음식만, 우아하게 먹을 것 같은 셀럽 부부들. 하지만 알고 보면 취향도 입맛도 제각각이라는데. 때로는 알콩달콩, 때로는 티격태격. 보면 볼수록 반전 매력 터지는 커플들의 일상과 미식 세계를 따라가 본다."
4256,블랙 팬서,2018,영화,바깥세상 모르게 첨단 기술로 번영을 누리는 와칸다 왕국. 이곳의 희귀 금속과 왕좌를 노리는 이들로 인해 먹구름이 드리운다. 세계로까지 번질 거대 위협. 이를 막아낼 힘은 새 국왕에게 있으니. 블랙 팬서의 이름으로 세상을 지켜내라.
4257,일하는 세포,2018,드라마,"우리가 모르는 사이 인체를 지키기 위해 열심히 일하는 누군가가 있다? 수많은 세포가 의인화된 캐릭터로 살아난다! 빨간 모자를 쓴 배달부 적혈구, 침입자를 물리치는 백혈구, 귀여운 꼬맹이 혈소판 등. 각각 몸 안에서 어떤 활약을 할까?"
4258,한끼 줍쇼,2019,드라마,"이경규와 강호동이 숟가락 하나 들고 거리로 나섰다. 무작정 초인종을 누르며, 한 끼 줍쇼! 매주 새로운 게스트와 함께, 대한민국 평범한 가정의 저녁 밥상으로 찾아간다."
4259,더 이퀄라이저 2,2018,영화,"전직 CIA 요원 로버트 맥콜. 그는 매사추세츠 도심에서 운전기사로 일하며, 힘없는 사람들을 대신해 악한을 소탕한다. 그러던 어느 날 소중한 친구이자 전 동료가 살해되면서 거대 음모 한가운데 서게 되고. 배후 인물의 처단을 시작한다."
4260,나우 유 씨 미: 마술사기단,2013,영화,"의문의 카드를 받고 같은 시각 같은 장소로 소환된 4명의 마술사. 1년 후, 라스베이거스에서 한 팀이 된 네 사람은 은행 돈을 훔쳐 관객에게 뿌리는 마술 공연을 선보인다. 이 사실이 알려지자 FBI와 인터폴이 함께 수사에 나서는데."
